財務

コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率
9685,2025/03,7963328000,4489030000,4151611000,2541502000,350000000,1616251000,883.76,56.4
9686,2025/03,38798596000,21738253000,21785262000,9510351000,1645000000,5331248000,2099.1,56
9687,2025/03,22944000000,16719000000,16305000000,14205000000,-,-,2730.81,72
9691,2025/03,24735870000,13630110000,13489493000,9078128000,-,1500000000,3895.83,55.1
9692,2026/01,-,-,-,-,-,-,1364.29,-
9696,2025/03,20478469000,5983297000,5809784000,3851634000,1100000000,1449554000,654.9,28.9
9697,2025/03,312982000000,226303000000,217768000000,204233000000,3591000000,3000000000,540.68,72.3
9698,2025/03,9992000000,7334000000,7332000000,4421000000,-,-,947.77,73.4
9699,2025/09,297261000000,140289000000,135452000000,122558000000,5290000000,38585000000,4989.57,46.6
9701,2025/03,27497937000,10957493000,8700215000,3352038000,270000000,11040000000,3320.86,39.9
9702,2025/12,21610000000,14522000000,14030000000,8605000000,120000000,-,1266.86,67.2
9704,2025/12,20988815000,8850624000,5229114000,-5445501000,-,7721891000,21.03,26.7
9706,2025/03,469955000000,198347000000,183235000000,92678000000,14358000000,134541000000,2019.11,39.9
9708,2025/03,69034000000,45347000000,43666000000,40892000000,-,-,382.2,65.7
9709,2025/03,21320655000,14226599000,13588060000,6578677000,-,-,879.19,66.7
9713,2025/03,38361000000,23035000000,21477000000,11097000000,89000000,353000000,1406.05,56
9715,2025/03,207984000000,129068000000,111579000000,91749000000,80000000,4151000000,3166.16,57
9716,2026/02,-,-,-,-,-,-,555.91,-
9719,2025/03,885029000000,292565000000,291420000000,264459000000,120729000000,134354000000,932.48,32.9
9720,2025/11,8855576000,3721878000,4131557000,2949450000,850000000,1356384000,3152.4,42
9722,2025/12,98834000000,36818000000,29885000000,18688000000,7792000000,12475000000,614.47,37.3
9723,2025/03,16627681000,2660305000,2660305000,1605850000,-,10640000000,220.49,16
9726,2025/03,136734000000,51321000000,49516000000,-5689000000,-,-,1876.21,37.5
9729,2025/03,113951000000,85845000000,83094000000,74878000000,1766000000,166000000,2518.86,74.8
9731,2025/12,35305000000,12890000000,10972000000,7318000000,1688000000,3112000000,3365.03,36.1
9733,2025/03,90107000000,31172000000,21599000000,22178000000,792000000,22626000000,1184.07,34.6
9735,2025/03,2145576000000,1447736000000,1189247000000,1230672000000,31577000000,10138000000,3056.11,59.2
9739,2025/03,47149000000,35414000000,35400000000,29815000000,-,-,2376.88,75.1
9740,2026/02,-,-,-,-,-,-,2951.62,-
9742,2025/03,56727000000,39192000000,38816000000,13835000000,3000000000,3749000000,1884.15,69.1
9743,2026/01,-,-,-,-,-,-,795.97,-
9744,2025/03,93605000000,48776000000,48508000000,43942000000,-,-,631.74,52.1
9746,2025/09,129817000000,108497000000,103872000000,94947000000,-,-,2115.39,83.6
9749,2024/12,258699000000,141654000000,142703000000,113787000000,40480000000,191000000,2200.69,53.6
9753,2025/03,15070047000,10059430000,8806053000,7146375000,-,240000000,1051.79,66.8
9755,2025/12,108515000000,78805000000,72208000000,49991000000,1335000000,1547000000,3419.36,71.8
9757,2025/12,34493000000,25788215000,24679221000,28220914000,250000000,25010000,274.73,72.4
9759,2025/03,90485000000,68252000000,63286000000,62655000000,400000000,1152000000,881.65,74.5
9760,2025/03,23617128000,9313846000,9262037000,2976995000,7035592000,-,527.57,39.4
9761,2025/03,36659378000,17079901000,16246676000,2540756000,5098724000,8700415000,4891.73,46.1
9763,2025/03,37963000000,17469000000,13888000000,10751000000,3706000000,3104000000,1766.75,44.3
9765,2025/05,17901196000,13167828000,11219148000,9160322000,-,-,800.33,71
9766,2025/03,665040000000,481868000000,481852000000,359189000000,19994000000,39911000000,3554.61,72.5
9767,2025/03,6533779000,4599706000,4381566000,2901757000,-,92500000,2520.69,70.3
9768,2025/12,37838571000,30711979000,29133899000,22749237000,-,100000000,4301.93,81.2
9769,2025/03,12156578000,7338033000,7354075000,5952903000,-,1161774000,674.95,60.3
9776,2025/03,16450937000,11394115000,11046504000,9995310000,-,1331245000,3575.27,67.8
9778,2026/02,-,-,-,-,-,-,6119.36,-
9780,2025/03,14791023000,9194727000,9064083000,7905307000,424600000,360000000,1005.96,62.2
9782,2025/03,20620680000,16726389000,16937065000,15440011000,-,175000000,3015.79,81.1
9783,2024/03,528391000000,165678000000,153069000000,132113000000,-,151000000,1642.86,30
9787,2025/02,169882000000,110454000000,104507000000,103417000000,260000000,-,2283.99,64.3
9788,2025/03,38191000000,22394000000,23064000000,15141000000,2700000000,2505000000,536.36,58.6
9790,2025/03,33044000000,27102000000,26470000000,23398000000,-,-,1310.85,82
9791,2025/03,40351178000,21650535000,21596334000,18193131000,1700000000,6305993000,2869.99,53.7
9793,2026/02,-,-,-,-,-,-,1728.75,-
9795,2025/09,30571070000,27422634000,27408304000,25172062000,-,33328000,1738.76,89.7
9799,2025/03,14645927000,11684137000,11562319000,10576254000,210000000,-,751.65,79.8
9812,2025/05,17002899000,599661000,336813000,-134653000,6321269000,4700071000,72.01,2.7
9816,2025/03,5498536000,2463786000,2437287000,968233000,-,1684772000,303.84,44.8
9818,2025/03,22130593000,14909898000,14639770000,13061343000,30000000,684397000,1947.66,67.4
9820,2025/03,5121160000,4128465000,4128465000,3068317000,-,44657000,3835.61,80.6
9823,2025/09,86792000000,42416000000,41921000000,38412000000,4000000000,-,847.21,48.8
9824,2025/10,111002000000,58923000000,56051000000,55036000000,461000000,-,3407.15,52.7
9827,2025/12,20315503000,8122418000,8064826000,2410214000,774703000,1380865000,659.45,40
9828,2025/03,34814000000,17060000000,16718000000,14293000000,-,780000000,966.12,49
9830,2025/12,308359000000,186252000000,184789000000,175139000000,10000000000,55000000000,2824.54,60.4
9831,2025/03,1324980000000,645275000000,631785000000,614979000000,150093000000,110321000000,919.9,48.1
9832,2025/03,228170000000,131963000000,128323000000,66246000000,8514000000,26263000000,1679.28,57.8
9835,2026/02,-,-,-,-,-,-,1552.5,-
9837,2025/11,55498893000,39832596000,33221918000,30652347000,600000000,1049947000,1556.22,71.8
9842,2026/02,-,-,-,-,-,-,2032.65,-
9843,2025/03,1529421000000,905736000000,905729000000,861634000000,173138000000,20000000000,1655.42,59.2
9845,2025/03,70853000000,48477000000,37845000000,33745000000,2364000000,421000000,1818.56,64.2
9846,2026/02,-,-,-,-,-,-,2411.99,-
9849,2025/03,9521477000,3899075000,3843385000,889448000,-,-,5766.96,40.9
9850,2025/03,31457000000,9412547000,9103974000,694179000,1200000000,10483197000,404.24,29.4
9852,2025/03,-,-,-,-,-,-,12563.96,-
9853,2025/03,5893000000,3107049000,3072696000,1348332000,1490800000,393800000,501.06,51.9
9854,2025/03,13854000000,12011000000,14283000000,2894000000,-,-,618.95,86.7
9856,2025/03,92743000000,67971000000,66931000000,56991000000,1000000000,4192000000,2048.29,72.6
9857,2025/03,33123622000,16956756000,16245611000,13196172000,50000000,68000000,2679.37,51.2
9861,2026/02,-,-,-,-,-,-,1050.43,-
9867,2025/03,22275651000,11110907000,10893114000,6245329000,1130000000,1400000000,12859.27,49.9
9869,2025/09,466325000000,177013000000,135795000000,136376000000,4520000000,211000000,5487.47,36.2
9872,2025/11,27849000000,14058000000,13931000000,9062000000,-,-,1514.47,50.5
9873,2024/03,61359000000,31157000000,30935000000,14137000000,-,-,1394.35,50.8
9876,2026/02,-,-,-,-,-,-,381.01,-
9878,2025/03,4769575000,233406000,160033000,-349284000,2390637000,321103000,113.07,4.8
9880,2025/03,47008377000,26132585000,23407383000,9497392000,8366272000,850000000,1930.81,54.1
9882,2025/03,185535000000,120594000000,117330000000,97870000000,35000000000,-,1358.57,64.9
9885,2025/03,19260000000,16852000000,16865000000,8584000000,-,4000000,1079.49,87.5
9887,2025/03,104155034000,45615389000,45506396000,31876698000,-,24664903000,2392.83,43.8
9888,2025/03,51932627000,17511294000,14527794000,12194489000,10048522000,2067176000,1586.44,33.7
9889,2025/03,44466000000,24182000000,23484000000,16977000000,-,2588000000,389.13,54.4
9890,2025/03,39827386000,20795336000,19993038000,18146729000,1985811000,3007388000,2080.91,52.2
9895,2025/03,11962563000,8140348000,7135669000,603613000,1020307000,438613000,4506.67,66.3
9896,2025/03,222968000000,65707000000,61325000000,53219000000,8718000000,12635000000,2200.8,28.5
9900,2025/03,25297194000,17824478000,17408161000,2384166000,-,603120000,588.59,70.4
9902,2025/03,121332000000,86231000000,79836000000,69583000000,-,-,2920.61,71.1
9903,2026/02,-,-,-,-,-,-,901.07,-
9904,2025/03,7552000000,4467000000,4467000000,775000000,1500000000,-,164.63,59.2
9906,2025/03,66704285000,40078698000,36675135000,33686499000,550000000,-,4452.8,56.5
9908,2025/03,73996093000,30699909000,27421108000,25618121000,12429667000,2437506000,2625.65,40.3
9913,2025/03,32475000000,16530000000,12554000000,8875000000,1300000000,747000000,1831.67,50.9
9914,2025/03,4997268000,3086668000,2788578000,679509000,-,-,1376.66,61.8
9919,2024/03,151845000000,70793000000,70641000000,17820000000,10616000000,771000000,1240.35,46.6
9924,2025/05,16111449000,3079623000,2763959000,1255449000,3500000000,2476032000,1117.89,19.1
9927,2025/03,5087000000,3425948000,3527815000,1646248000,92800000,219592000,390.6,67.2
9928,2025/03,45331000000,29637000000,28938000000,25711000000,3160000000,2400000000,978.24,64.6
9929,2025/03,17971031000,9916558000,8776722000,4631463000,2243739000,-,1048.31,55.2
9930,2025/03,18087768000,10783335000,9665876000,4407705000,2100000000,-,580.06,59.6
9932,2025/03,42406886000,35485286000,33500689000,32307907000,-,-,1852.42,83.7
9934,2025/03,278983000000,173023000000,164717000000,138223000000,232000000,-,1536.34,61.8
9936,2025/03,96632000000,74238000000,73516000000,66344000000,-,3000000000,1313.7,76.8
9941,2025/09,8363894000,993082000,972986000,558438000,5907835000,-,504.56,11.6
